,state,date,trend
4,California,2020-03-05,11.53150761026579
5,California,2020-03-06,13.295730231054197
6,California,2020-03-07,15.183716917728429
7,California,2020-03-08,17.312132364187406
8,California,2020-03-09,19.94306083403906
9,California,2020-03-10,23.47163752130532
10,California,2020-03-11,29.23658604931123
11,California,2020-03-12,38.32085320169533
12,California,2020-03-13,51.24902367595585
13,California,2020-03-14,68.13191160297109
14,California,2020-03-15,88.8756191663905
15,California,2020-03-16,112.53464418808231
16,California,2020-03-17,137.97860992171022
17,California,2020-03-18,162.67538985606404
18,California,2020-03-19,187.99437478495028
19,California,2020-03-20,218.8932972326429
20,California,2020-03-21,259.61782292925426
21,California,2020-03-22,312.0823044715138
22,California,2020-03-23,377.974399647228
23,California,2020-03-24,458.5063058599317
24,California,2020-03-25,552.4047820710443
25,California,2020-03-26,651.9651069536716
26,California,2020-03-27,746.2989640959445
27,California,2020-03-28,834.3975219673747
28,California,2020-03-29,924.7325552113884
29,California,2020-03-30,1021.2285607690667
30,California,2020-03-31,1116.4488609535665
31,California,2020-04-01,1201.6151908116476
32,California,2020-04-02,1272.5855510376064
33,California,2020-04-03,1324.7471060851328
34,California,2020-04-04,1349.3612568296542
35,California,2020-04-05,1339.199551595044
36,California,2020-04-06,1299.4368688591342
37,California,2020-04-07,1250.6058612022507
38,California,2020-04-08,1206.938868183901
39,California,2020-04-09,1169.665692965992
40,California,2020-04-10,1139.0027499214566
41,California,2020-04-11,1115.5649388489278
42,California,2020-04-12,1100.2720255340741
43,California,2020-04-13,1094.138871126426
44,California,2020-04-14,1101.6007157680656
45,California,2020-04-15,1123.2395405327075
46,California,2020-04-16,1166.2119849614814
47,California,2020-04-17,1239.1630471415738
48,California,2020-04-18,1340.268572222411
49,California,2020-04-19,1457.433322848282
50,California,2020-04-20,1574.2552172980932
51,California,2020-04-21,1654.3579249625996
52,California,2020-04-22,1683.707392411401
53,California,2020-04-23,1670.0094945395638
54,California,2020-04-24,1622.42530857977
55,California,2020-04-25,1563.9200406094542
56,California,2020-04-26,1517.2479048546384
57,California,2020-04-27,1491.0735360563974
58,California,2020-04-28,1492.1773285064655
59,California,2020-04-29,1518.6530351948284
60,California,2020-04-30,1552.0552421404436
61,California,2020-05-01,1588.5679341295431
62,California,2020-05-02,1629.6667588938915
63,California,2020-05-03,1676.905009691981
64,California,2020-05-04,1725.055589543699
65,California,2020-05-05,1768.1624739724161
66,California,2020-05-06,1793.371322507677
67,California,2020-05-07,1807.5531031155415
68,California,2020-05-08,1809.641539075687
69,California,2020-05-09,1792.9757125698927
70,California,2020-05-10,1757.6548976475349
71,California,2020-05-11,1721.2493887657072
72,California,2020-05-12,1698.514885252571
73,California,2020-05-13,1699.3364806104435
74,California,2020-05-14,1717.1939851575942
75,California,2020-05-15,1745.7525629528043
76,California,2020-05-16,1779.5168044569157
77,California,2020-05-17,1818.48427113057
78,California,2020-05-18,1866.9161435497144
79,California,2020-05-19,1929.412464785924
80,California,2020-05-20,2002.7202775076883
81,California,2020-05-21,2077.471458996952
82,California,2020-05-22,2147.3387462736814
83,California,2020-05-23,2213.677227229979
84,California,2020-05-24,2269.8884402804183
85,California,2020-05-25,2300.645758216773
86,California,2020-05-26,2296.995190900419
87,California,2020-05-27,2266.3606054694033
88,California,2020-05-28,2227.34507068581
0,Colorado,2020-03-01,0.1531958854689357
1,Colorado,2020-03-02,0.18133984377394996
2,Colorado,2020-03-03,0.2708816315742182
3,Colorado,2020-03-04,0.4303876036132981
4,Colorado,2020-03-05,0.6759901068877237
5,Colorado,2020-03-06,0.9609064514617627
6,Colorado,2020-03-07,1.3327887665399225
7,Colorado,2020-03-08,2.070496051480832
8,Colorado,2020-03-09,3.571346836784861
9,Colorado,2020-03-10,6.09110882887356
10,Colorado,2020-03-11,9.570862096204372
11,Colorado,2020-03-12,13.456846194734117
12,Colorado,2020-03-13,18.138109810348695
13,Colorado,2020-03-14,23.685304279213348
14,Colorado,2020-03-15,28.633912685185447
15,Colorado,2020-03-16,31.90176475809885
16,Colorado,2020-03-17,35.659890811847106
17,Colorado,2020-03-18,42.170847164507634
18,Colorado,2020-03-19,53.18156687205296
19,Colorado,2020-03-20,70.10217437333792
20,Colorado,2020-03-21,93.9530944607882
21,Colorado,2020-03-22,123.13395193516206
22,Colorado,2020-03-23,155.27425435482238
23,Colorado,2020-03-24,187.7763889124439
24,Colorado,2020-03-25,216.78471682311803
25,Colorado,2020-03-26,243.94658728435107
26,Colorado,2020-03-27,268.62301655683916
27,Colorado,2020-03-28,294.4215774023541
28,Colorado,2020-03-29,321.70987616203126
29,Colorado,2020-03-30,349.3781247560292
30,Colorado,2020-03-31,366.0223428985891
31,Colorado,2020-04-01,369.3029503290126
32,Colorado,2020-04-02,363.14600425119414
33,Colorado,2020-04-03,357.83601309854214
34,Colorado,2020-04-04,348.44747794859705
35,Colorado,2020-04-05,334.1162129428316
36,Colorado,2020-04-06,317.91113381700575
37,Colorado,2020-04-07,311.1156334185769
38,Colorado,2020-04-08,313.22139508108717
39,Colorado,2020-04-09,323.359098706813
40,Colorado,2020-04-10,333.20316500345587
41,Colorado,2020-04-11,347.8939673808462
42,Colorado,2020-04-12,362.2921007296355
43,Colorado,2020-04-13,366.2639650590026
44,Colorado,2020-04-14,358.12628164961916
45,Colorado,2020-04-15,348.5887376921297
46,Colorado,2020-04-16,340.0963774971128
47,Colorado,2020-04-17,337.5284923516143
48,Colorado,2020-04-18,345.3399431102449
