,state,date,trend,trend_std,ts_cluster,ts_cluster_name
1158,Indiana,2020-04-18,482.55908847232615,0.5165570807261741,1,past peak
1159,Indiana,2020-04-19,486.5960342615196,0.5320706029437772,1,past peak
1160,Indiana,2020-04-20,491.7496990441685,0.5518755488813037,1,past peak
1161,Indiana,2020-04-21,502.12310765097936,0.5917393749759781,1,past peak
1162,Indiana,2020-04-22,523.0367841724346,0.6721082484535139,1,past peak
1163,Indiana,2020-04-23,556.5978696326762,0.8010796719311509,1,past peak
1164,Indiana,2020-04-24,597.6875270896826,0.9589825388904629,1,past peak
1165,Indiana,2020-04-25,640.7618999035078,1.124512440591249,1,past peak
1166,Indiana,2020-04-26,679.594788624347,1.2737428027024051,1,past peak
1167,Indiana,2020-04-27,709.5548906484979,1.3888760575599544,1,past peak
1168,Indiana,2020-04-28,721.2818664460568,1.4339414879820633,1,past peak
1169,Indiana,2020-04-29,724.914429206292,1.4479010123429303,1,past peak
1170,Indiana,2020-04-30,725.479040643162,1.4500707496957685,1,past peak
1171,Indiana,2020-05-01,721.7262687773793,1.4356492754532209,1,past peak
1172,Indiana,2020-05-02,710.9064501249701,1.3940699464704251,1,past peak
1173,Indiana,2020-05-03,699.0186306335672,1.3483864120785554,1,past peak
1174,Indiana,2020-05-04,688.4894218958498,1.3079238638512245,1,past peak
1175,Indiana,2020-05-05,679.7235394066843,1.2742375772737333,1,past peak
1176,Indiana,2020-05-06,667.8332229446627,1.228544447308578,1,past peak
1177,Indiana,2020-05-07,646.7567678436648,1.1475500343162324,1,past peak
1178,Indiana,2020-05-08,616.3762577177831,1.0308011990750876,1,past peak
1179,Indiana,2020-05-09,577.0201315018151,0.8795600949501313,1,past peak
1180,Indiana,2020-05-10,535.7345369336206,0.7209042640209276,1,past peak
1181,Indiana,2020-05-11,498.8933991221483,0.5793279734772194,1,past peak
1182,Indiana,2020-05-12,465.6408333659092,0.45154215603259445,1,past peak
1183,Indiana,2020-05-13,434.9844293731496,0.3337330921292346,1,past peak
1184,Iowa,2020-03-01,0.01762094428698413,-0.9609528802725277,0,upward trend
1185,Iowa,2020-03-02,0.054618060183102335,-0.9607432250746719,0,upward trend
1186,Iowa,2020-03-03,0.11276933908057753,-0.9604136934993713,0,upward trend
1187,Iowa,2020-03-04,0.19735427759890525,-0.9599343677035315,0,upward trend
1188,Iowa,2020-03-05,0.3108530670328791,-0.9592911929430451,0,upward trend
1189,Iowa,2020-03-06,0.458956448506765,-0.9584519209351076,0,upward trend
1190,Iowa,2020-03-07,0.6425878106808343,-0.9574113190223196,0,upward trend
1191,Iowa,2020-03-08,0.8560916363030651,-0.9562014358809013,0,upward trend
1192,Iowa,2020-03-09,1.0781322306612091,-0.9549431765919099,0,upward trend
1193,Iowa,2020-03-10,1.2974075319813232,-0.9537005876611334,0,upward trend
1194,Iowa,2020-03-11,1.5193261796889264,-0.9524430194192283,0,upward trend
1195,Iowa,2020-03-12,1.7599985030325205,-0.9510791778778847,0,upward trend
1196,Iowa,2020-03-13,2.037616665911317,-0.9495059717114863,0,upward trend
1197,Iowa,2020-03-14,2.3864263466123794,-0.9475293375644692,0,upward trend
1198,Iowa,2020-03-15,2.8376202814303557,-0.9449725124881246,0,upward trend
1199,Iowa,2020-03-16,3.428854975520156,-0.9416221046585878,0,upward trend
1200,Iowa,2020-03-17,4.220339796585129,-0.9371369197261674,0,upward trend
1201,Iowa,2020-03-18,5.2491433125822455,-0.9313068975885825,0,upward trend
1202,Iowa,2020-03-19,6.559947888290554,-0.9238788322917599,0,upward trend
1203,Iowa,2020-03-20,8.250669696107629,-0.9142978526247943,0,upward trend
1204,Iowa,2020-03-21,10.460840932614346,-0.9017732577567459,0,upward trend
1205,Iowa,2020-03-22,13.224093947144894,-0.8861144599435911,0,upward trend
1206,Iowa,2020-03-23,16.588938114332592,-0.8670465663378668,0,upward trend
1207,Iowa,2020-03-24,20.593152994043667,-0.8443554877894648,0,upward trend
1208,Iowa,2020-03-25,25.34878251597523,-0.8174062939347547,0,upward trend
1209,Iowa,2020-03-26,30.784353587372927,-0.7866040083827349,0,upward trend
1210,Iowa,2020-03-27,36.73336454783272,-0.7528921624792906,0,upward trend
1211,Iowa,2020-03-28,42.94812714029827,-0.7176743556478347,0,upward trend
1212,Iowa,2020-03-29,49.17914305800117,-0.6823644444986253,0,upward trend
1213,Iowa,2020-03-30,55.327224902660504,-0.647524504023394,0,upward trend
1214,Iowa,2020-03-31,61.1701597391582,-0.6144137701314779,0,upward trend
1215,Iowa,2020-04-01,66.69318536170702,-0.5831158972672886,0,upward trend
1216,Iowa,2020-04-02,72.05507490081959,-0.5527311501059081,0,upward trend
1217,Iowa,2020-04-03,77.10326215190953,-0.5241240905742306,0,upward trend
1218,Iowa,2020-04-04,82.08753947510674,-0.49587919572087363,0,upward trend
1219,Iowa,2020-04-05,86.83084728073851,-0.46899982654860656,0,upward trend
1220,Iowa,2020-04-06,91.7741003622035,-0.4409874078034252,0,upward trend
1221,Iowa,2020-04-07,96.82399514231643,-0.4123706720489803,0,upward trend
1222,Iowa,2020-04-08,102.05525407698522,-0.3827261821902931,0,upward trend
1223,Iowa,2020-04-09,107.28811819426338,-0.3530725960853334,0,upward trend
1224,Iowa,2020-04-10,112.85208966597362,-0.3215426913478646,0,upward trend
1225,Iowa,2020-04-11,119.09679630695132,-0.2861551976296511,0,upward trend
1226,Iowa,2020-04-12,126.50777774877251,-0.24415865971427117,0,upward trend
1227,Iowa,2020-04-13,135.3566465533857,-0.19401390396518148,0,upward trend
1228,Iowa,2020-04-14,145.95570299198718,-0.13395118769941347,0,upward trend
1229,Iowa,2020-04-15,158.3337794844865,-0.06380712340541694,0,upward trend
1230,Iowa,2020-04-16,172.6361758261269,0.017241673566726855,0,upward trend
1231,Iowa,2020-04-17,189.27588264917156,0.11153553787885682,0,upward trend
1232,Iowa,2020-04-18,208.4709255123658,0.22030997642250263,0,upward trend
1233,Iowa,2020-04-19,229.17170929654858,0.33761714523614833,0,upward trend
1234,Iowa,2020-04-20,250.9253165351348,0.4608904523363567,0,upward trend
1235,Iowa,2020-04-21,273.89852055200737,0.5910749685311855,0,upward trend
1236,Iowa,2020-04-22,297.649504575543,0.7256670072378535,0,upward trend
1237,Iowa,2020-04-23,323.63860807508325,0.8729420178519617,0,upward trend
1238,Iowa,2020-04-24,351.5434823940993,1.031073315516429,0,upward trend
1239,Iowa,2020-04-25,378.7185039114872,1.1850686844787601,0,upward trend
1240,Iowa,2020-04-26,404.51107326780027,1.331229975720812,0,upward trend
1241,Iowa,2020-04-27,428.2381920168448,1.4656867747277325,0,upward trend
1242,Iowa,2020-04-28,449.0684786677895,1.583727810181959,0,upward trend
1243,Iowa,2020-04-29,466.52960392503684,1.6826764871781033,0,upward trend
1244,Iowa,2020-04-30,480.1831912089656,1.7600486140079816,0,upward trend
1245,Iowa,2020-05-01,488.64550159517614,1.80800282112294,0,upward trend
1246,Iowa,2020-05-02,490.23293137380836,1.8169984656822586,0,upward trend
1247,Iowa,2020-05-03,485.573092732558,1.7905920994387163,0,upward trend
1248,Iowa,2020-05-04,475.41671995934564,1.7330379822679511,0,upward trend
